10-19,8-26,11-19,10-20,9-19,10-18,bmi
127.1416532848303,121.2023102090055,126.24579200908043,126.31706139710501,124.48293055676348,123.14625451064276,55.95
142.35870187663275,143.17122615944868,143.05593311708537,140.4314779527724,136.89411966918078,137.41178988718545,56.7
89.47066558375433,85.86617494683223,88.48163651289457,86.92525524840292,88.02272433866156,87.66413177577246,54.15
115.69356075426151,115.41230437002808,110.94142598686929,113.22543883774529,112.64102272262977,111.36426715962351,55.45
151.15885683611134,144.4749113168096,149.4121815649581,149.3251485852266,148.08105888330215,150.29637387508726,57.25
250.88842141477954,252.28555249954368,252.12100269513448,253.6631624812716,243.57750306627256,237.35627229968037,62.25
206.30559856678641,209.3895890439637,202.0396000787964,203.00246303924493,202.40800379431641,200.24984394500785,59.8
207.460839678239,208.9042843026442,208.2786594925174,203.2264746532793,202.64747716169572,205.0,60.4
113.17685275708986,115.83609109426992,113.81124724736128,111.08555261599052,109.78615577567145,112.89818421923357,55.4
175.13708916160505,180.49930747789588,175.20559351801532,174.4706279005151,170.6985647274165,169.1892431568863,58.65
189.69449122207,185.43192821086663,184.76200908195386,186.93581786270923,183.73078130786902,184.44782460088814,58.9
232.55106965997814,228.17756243767704,226.31835983852483,228.03508501982756,226.15260334561702,226.55021518418386,60.85
141.6827441857335,140.42791745233566,140.45995870709916,140.46351839534705,138.4629914453678,137.78606605894515,56.9
252.38462710712002,258.4898450616581,249.7218452598811,253.06125740618614,246.28844877500853,242.88680491125905,62.3
129.1394595001853,131.94695904036593,131.03434664239757,126.14277624977184,125.39936203984452,125.4312560727987,56.1
235.5674001214939,243.3536521197083,230.1521236052364,233.69424468736923,229.97608571327584,230.4126732625617,61.3
176.47662734764626,176.6635219845908,169.30741271426953,169.8381582566179,173.65770930194836,176.38594048279472,58.3
154.54772725601632,151.47607071745688,155.5538491969903,147.3634961583092,147.80054127099805,153.4731246831184,57.1
109.25200226998129,109.0,109.9317970379817,106.56922632730331,105.65036677645752,104.23531071570707,55.1
161.75598906995683,165.94577427581578,153.8473269186046,157.9651860379369,159.36436239009018,160.99689437998487,57.75
202.1806123247232,199.32385707686882,203.9068414742379,197.48924021323288,194.64069461446132,198.4363877921587,59.5
281.81021982887705,277.74268667239465,285.0,281.46935890075144,271.93565415369864,268.2256512714621,63.25
261.83964558485025,273.70787347096905,278.6485241303101,268.5609800399157,245.96747752497689,245.20399670478454,63.2
104.65658125507444,103.31021246711285,106.23088063270492,103.61949623502326,99.02019995940222,100.70253224224304,54.85
105.30906893520614,107.93516572461452,105.0,104.69479452198185,101.23734488813898,104.04326023342405,55.0
166.96406799069075,168.75129629131743,165.65325230734229,165.71059109181886,162.85576440519384,162.80663377147752,58.1
194.24983912477248,185.9516066077408,196.23710148695125,193.12690128513947,186.59314028120116,189.38056922503955,59.05
172.5688268488837,167.1556161186336,171.7032323516363,166.83225107874074,167.2871782295344,168.80758276807353,58.0
149.88328792764054,155.20631430454108,145.6605643267937,144.30869689661813,148.18906842274163,146.99659860010368,57.15
148.03377992877162,152.0690632574555,152.26621424334422,144.4714504668656,141.35416513141737,145.12063946937388,57.0
149.34523762075574,146.2908062729849,146.71059948074645,145.33065746772084,145.04137340772803,146.32156368765337,57.05
282.55441953719287,254.31083343027288,286.2044723619811,274.15506561068685,270.0981303156317,279.7373768376332,62.65
152.10851389715177,150.58552387264854,150.73486657041232,148.92951352905172,148.70776711389354,152.84632805533795,57.25
143.7567389724739,145.3444185374863,144.80676779764127,144.08677940741129,138.15932831336434,137.84411485442533,56.85
126.19429464123962,131.24404748406687,127.5617497528158,125.78155667664477,122.54386969571348,120.60265337047936,56.3
174.26416728633572,169.26015479137433,174.77413996355406,172.1917535772256,166.9281282468596,171.81967291320282,58.05
85.47514258543241,86.92525524840292,83.81527307120105,84.17244204607586,83.00602387778855,85.14693182963201,54.05
132.5481044753187,130.54118124178282,132.85330255586422,129.40247292845683,125.31959144523252,129.20139318134306,56.5
179.12007146045917,177.50774630984418,172.69916039170545,172.1917535772256,178.27226368675525,180.86735471057239,58.75
150.3761949245957,152.97712247261023,148.51935900750448,146.7310464761974,146.102703602637,146.86047800548656,57.05
112.307613277106,111.01801655587259,113.20777358467925,111.32834320154056,109.41663493271945,106.06601717798212,55.35
