10-19,height
127.1416532848303,155.95
142.35870187663275,156.7
89.47066558375433,154.15
115.69356075426151,155.45
151.15885683611134,157.25
250.88842141477954,162.25
206.30559856678641,159.8
207.460839678239,160.4
113.17685275708986,155.4
175.13708916160505,158.65
189.69449122207,158.9
232.55106965997814,160.85
141.6827441857335,156.9
252.38462710712002,162.3
129.1394595001853,156.1
235.5674001214939,161.3
176.47662734764626,158.3
154.54772725601632,157.1
109.25200226998129,155.1
161.75598906995683,157.75
202.1806123247232,159.5
281.81021982887705,163.25
261.83964558485025,163.2
104.65658125507444,154.85
105.30906893520614,155.0
166.96406799069075,158.1
194.24983912477248,159.05
172.5688268488837,158.0
149.88328792764054,157.15
148.03377992877162,157.0
149.34523762075574,157.05
282.55441953719287,162.65
152.10851389715177,157.25
143.7567389724739,156.85
126.19429464123962,156.3
174.26416728633572,158.05
85.47514258543241,154.05
132.5481044753187,156.5
179.12007146045917,158.75
150.3761949245957,157.05
112.307613277106,155.35
235.49097647256042,161.45
194.9974358805777,159.35
267.4471910489994,162.9
98.11218069128829,154.55
101.51354589413178,154.9
91.706052144883,154.35
82.76472678623425,154.05
230.4886114323222,160.9
112.20071301021221,155.4
246.05893602956183,161.45
84.8528137423857,154.25
95.80187889597993,154.7
105.84894897919392,155.0
162.36070953281768,158.25
223.80571931923458,160.45
158.35403373454054,157.3
367.30641159663963,166.9
88.10221336606703,154.2
394.97468273295686,168.95
137.20058308913997,156.1
124.39051410778879,155.85
92.78469701410894,154.45
263.7062759966095,162.6
131.18307817702708,156.05
113.44161493913951,155.25
237.19190542680835,161.35
271.4129694764051,162.65
106.6770828247567,154.9
202.48456731316588,159.85
191.10729970359586,159.25
174.89711261195825,158.1
211.69789795838787,159.9
250.88842141477954,163.0
142.07744367069668,156.95
90.24965373894794,154.4
211.51359294381058,160.2
89.88882021697692,154.25
103.39245620450264,155.1
87.23531395025755,154.15
229.88910370002318,160.45
148.94629904767692,156.85
202.35612172603032,160.1
252.23203603031868,161.75
203.08126452235814,159.9
98.97979591815695,154.7
305.8120337723812,164.25
186.9545399288287,158.7
126.49110640673516,156.45
103.35376142163379,154.8
269.45314991664134,163.25
204.08331631958552,159.15
191.26944345608368,158.95
265.51459470243816,162.85
125.7179382586272,155.9
405.4232356439379,168.7
186.62529303392932,158.85
331.5448687583628,165.65
158.31929762350515,157.5
181.24568960391858,158.35
225.41073621280773,161.1
150.11995203836162,157.5
169.1685549976709,158.1
171.81967291320282,158.65
236.4254639415983,161.35
182.23611058184932,158.6
250.69702830308938,161.8
95.41488353501249,154.6
224.53730202351682,160.9
225.80744009000242,161.45
229.88910370002318,160.7
136.06616037795732,156.75
128.47178678604885,155.85
200.9601950635996,159.05
246.73872821265815,162.05
257.59852484049674,162.3
134.07833531186162,156.3
