10-19,8-26,height
127.1416532848303,121.2023102090055,155.95
142.35870187663275,143.17122615944868,156.7
89.47066558375433,85.86617494683223,154.15
115.69356075426151,115.41230437002808,155.45
151.15885683611134,144.4749113168096,157.25
250.88842141477954,252.28555249954368,162.25
206.30559856678641,209.3895890439637,159.8
207.460839678239,208.9042843026442,160.4
113.17685275708986,115.83609109426992,155.4
175.13708916160505,180.49930747789588,158.65
189.69449122207,185.43192821086663,158.9
232.55106965997814,228.17756243767704,160.85
141.6827441857335,140.42791745233566,156.9
252.38462710712002,258.4898450616581,162.3
129.1394595001853,131.94695904036593,156.1
235.5674001214939,243.3536521197083,161.3
176.47662734764626,176.6635219845908,158.3
154.54772725601632,151.47607071745688,157.1
109.25200226998129,109.0,155.1
161.75598906995683,165.94577427581578,157.75
202.1806123247232,199.32385707686882,159.5
281.81021982887705,277.74268667239465,163.25
261.83964558485025,273.70787347096905,163.2
104.65658125507444,103.31021246711285,154.85
105.30906893520614,107.93516572461452,155.0
166.96406799069075,168.75129629131743,158.1
194.24983912477248,185.9516066077408,159.05
172.5688268488837,167.1556161186336,158.0
149.88328792764054,155.20631430454108,157.15
148.03377992877162,152.0690632574555,157.0
149.34523762075574,146.2908062729849,157.05
282.55441953719287,254.31083343027288,162.65
152.10851389715177,150.58552387264854,157.25
143.7567389724739,145.3444185374863,156.85
126.19429464123962,131.24404748406687,156.3
174.26416728633572,169.26015479137433,158.05
85.47514258543241,86.92525524840292,154.05
132.5481044753187,130.54118124178282,156.5
179.12007146045917,177.50774630984418,158.75
150.3761949245957,152.97712247261023,157.05
112.307613277106,111.01801655587259,155.35
235.49097647256042,238.15961034566715,161.45
194.9974358805777,199.60210419732556,159.35
267.4471910489994,273.82658746002005,162.9
98.11218069128829,97.57561170702442,154.55
101.51354589413178,101.87246929372036,154.9
91.706052144883,89.89438247187641,154.35
82.76472678623425,85.0,154.05
230.4886114323222,226.38462845343545,160.9
112.20071301021221,114.16216536138408,155.4
246.05893602956183,241.3731550939333,161.45
84.8528137423857,85.70880934886449,154.25
95.80187889597993,93.81364506296512,154.7
105.84894897919392,108.16653826391969,155.0
162.36070953281768,167.93153366774212,158.25
223.80571931923458,215.61539833694627,160.45
158.35403373454054,156.11854470241516,157.3
367.30641159663963,356.18674877092207,166.9
88.10221336606703,89.8999443826302,154.2
394.97468273295686,376.9615364994153,168.95
137.20058308913997,134.71822445385777,156.1
124.39051410778879,121.26417442921878,155.85
92.78469701410894,93.2308961664533,154.45
263.7062759966095,263.9412813487121,162.6
131.18307817702708,126.77933585565118,156.05
113.44161493913951,112.2541758688736,155.25
237.19190542680835,236.5967032737354,161.35
271.4129694764051,269.59599403551977,162.65
106.6770828247567,104.2784733298297,154.9
202.48456731316588,200.48940121612412,159.85
191.10729970359586,190.39432764659767,159.25
174.89711261195825,174.4276354251241,158.1
211.69789795838787,209.05740838343903,159.9
250.88842141477954,269.63122964523234,163.0
142.07744367069668,142.2989810223531,156.95
90.24965373894794,91.0659101969557,154.4
211.51359294381058,207.1955597979841,160.2
89.88882021697692,89.47066558375433,154.25
103.39245620450264,102.17631819555841,155.1
87.23531395025755,86.92525524840292,154.15
229.88910370002318,235.74774654278247,160.45
148.94629904767692,144.08677940741129,156.85
202.35612172603032,196.20907216538183,160.1
252.23203603031868,257.2353008434107,161.75
203.08126452235814,213.8621051051354,159.9
98.97979591815695,98.61541461658008,154.7
305.8120337723812,302.20026472523153,164.25
186.9545399288287,182.52944967867515,158.7
126.49110640673516,132.28000604777728,156.45
103.35376142163379,103.31021246711285,154.8
269.45314991664134,275.5449146690971,163.25
204.08331631958552,195.7779354268504,159.15
191.26944345608368,188.875620449014,158.95
265.51459470243816,259.4224354214569,162.85
125.7179382586272,126.26955294131676,155.9
405.4232356439379,407.3573369905101,168.7
186.62529303392932,195.50959055759895,158.85
331.5448687583628,343.0801655590133,165.65
158.31929762350515,154.02921800749363,157.5
181.24568960391858,175.775424903483,158.35
225.41073621280773,222.0923231451281,161.1
150.11995203836162,147.85127662620977,157.5
169.1685549976709,171.32717239247253,158.1
171.81967291320282,181.23189564753773,158.65
236.4254639415983,239.82702099638402,161.35
182.23611058184932,175.51353224181892,158.6
250.69702830308938,238.51624682608104,161.8
95.41488353501249,93.98404119849285,154.6
224.53730202351682,229.8695282111137,160.9
225.80744009000242,239.77697971239857,161.45
229.88910370002318,232.1055794245369,160.7
136.06616037795732,137.90213921473443,156.75
128.47178678604885,123.03251602726816,155.85
200.9601950635996,192.83671849520772,159.05
246.73872821265815,253.7971631047124,162.05
257.59852484049674,262.6118809193522,162.3
134.07833531186162,132.07573584879245,156.3
138.06158046321215,132.9135057095403,156.2
208.16579930430458,202.0544481074346,159.95
236.78260071213,228.84929538890876,161.45
280.223125384041,265.9793225045887,163.15
191.449732305898,195.7268504830137,159.0
79.6303962064738,76.02631123499285,154.0
117.33712115098105,110.90987332063814,155.2
107.82393055347221,109.11003620199196,155.25
156.0833110873805,156.18578680533003,157.15
182.03571078225283,177.65415840897168,158.65
251.38217916153087,253.23704310388715,162.6
342.0935544555027,356.06319663790015,166.35
81.8413098624405,87.55569655939013,154.25
218.7647137908671,213.35885264033456,160.5
145.12063946937388,143.60013927569847,156.85
258.4898450616581,267.02996086581743,162.9
99.47864092356708,94.3716058992322,154.5
129.1394595001853,135.00370365289984,156.4
159.10059710761615,161.01242188104618,157.65
90.78546139112804,93.2148056909416,154.6
146.32156368765337,144.02777509911067,156.85
144.9034161087999,146.68674105044394,156.9
106.4377752492037,110.69326989478628,155.2
274.14777037211155,278.6431409527247,163.15
225.24875138388668,215.08137994721903,160.4
271.3595400939499,277.49234223668225,163.05
280.8932181452589,280.02856997099417,163.2
244.65894629054543,249.3290997858052,161.9
91.3892772703669,91.67878707749138,154.4
199.1105220725414,203.06649157357305,159.3
201.6928357676593,198.2977559126679,159.45
174.54225849346625,174.0028735394907,158.3
165.46903033498444,154.20765220960988,158.2
137.78606605894515,138.67948658687772,156.55
124.61942063739504,126.24183141890805,156.15
107.54068997360952,110.01818031580055,155.2
219.23731434224428,238.39882550046258,160.8
105.09519494249012,107.78682665335316,154.95
236.57979626333267,236.3154671196957,160.75
192.77447963877376,186.4537476158632,159.0
168.25278600962304,169.04733065032408,157.95
127.47156545677156,128.9961239727768,156.15
101.0198000393982,100.31948963187565,155.05
155.30936868070773,157.41982086128797,157.35
145.89036979869508,143.20963654726592,156.7
136.85028315644803,135.5949851580065,156.25
170.0,177.65415840897168,158.35
147.56693396557372,143.2934052913811,156.85
94.02127418834527,91.04943712072028,154.7
104.47966309287182,101.82337649086284,155.2
170.55790805471318,172.17723426748384,157.95
121.01652779682615,121.70866854912184,155.55
241.60298011407062,239.10248848558643,161.95
179.78042162593792,177.54436065389405,158.3
250.10797668207226,260.28445977430147,162.1
364.7423748346221,345.35778549208936,166.8
198.3053201505194,196.37973418863768,159.4
190.24720760105785,189.62331080328704,159.35
321.67219338948155,330.3967312186972,165.65
319.5559418943732,336.590255355083,165.5
395.83456140160376,380.87530767956076,168.95
91.18113840043894,90.55385138137414,154.25
174.92855684535903,173.21951391226105,158.4
326.4613300224086,334.970147923662,165.7
279.06271696520116,283.09892264012586,163.4
141.0319112825179,146.98639392814562,156.9
326.5884260043518,320.43252019731085,165.6
120.7393887677091,119.54078801814885,155.8
371.61808352124086,379.3323081415555,167.65
411.1800092416945,402.0460172666805,169.15
126.57408897558771,125.92458060283545,156.05
327.98323127867377,341.71625656383395,165.6
271.64867016055865,264.8811054039151,162.85
163.71010964506743,168.1814496310458,157.85
143.17821063276355,140.03570973148243,156.65
233.0021459128649,221.7408397206072,160.75
97.59098319004681,99.08077512817509,154.95
219.85904575431962,216.31689716709602,160.7
274.15506561068685,260.75659147948693,162.5
133.76471881628578,133.5402561027947,156.35
227.62249449472256,225.49722836434154,161.0
199.1230775173988,198.80643852752857,159.5
87.92041856133307,85.0881895447306,154.25
118.96217886370441,118.98319209031165,155.9
198.4943324127921,196.54261624390782,159.9
197.9520143873257,192.27064258487306,159.2
213.33541665649426,210.3188056261256,160.4
305.8954069612684,306.91041038061906,165.2
125.93649193144932,126.2101422231985,156.25
179.97777640586628,186.23103930333417,158.95
149.0,155.08062419270826,157.1
294.71511668049874,299.34762400927787,164.15
176.50212463310464,171.3038236584344,157.95
215.7452201092761,209.50656314301943,159.7
150.4460036026215,149.8966310495336,157.25
370.6116565894818,376.3960679922148,167.6
340.87241014784405,340.73156589902266,166.2
96.15092303249097,98.84331034521256,154.75
124.90796611905905,124.08464852672148,155.9
97.24710792614864,97.16995420396162,154.65
202.5882523741197,203.48218595248088,159.35
263.68541863364385,262.5147614897113,162.55
107.35455276791944,108.70602559196064,155.2
413.4017416509031,421.1424937001727,169.35
102.88342918079664,97.6933979345585,154.65
96.93296652842108,100.34440691936943,154.65
270.49029557453633,272.7379694871985,163.2
111.48542505637228,115.00434774390055,155.35
237.60681808399357,240.8817137102773,161.2
398.1017457886865,392.82184256988563,169.75
235.30618351416095,235.77107541002565,160.75
141.8344104933637,142.46754016266303,156.8
95.63472172804184,95.01578816175764,154.75
109.60383204979652,104.21612159354231,154.9
170.06175348972505,180.24705268048078,158.7
189.17187951701493,185.64751546950473,158.8
241.49534156997726,238.71740615212792,161.45
309.4915184621382,313.9490404508349,164.9
123.54756169184401,123.06502346320828,155.95
133.76471881628578,133.82451195502264,156.3
200.53179299053804,200.8830505542964,159.35
160.80111939908875,164.45060048537368,158.0
